cl1
---------------------------------------
Performed

i               TrStart         TrEnd           
98              -1              inf             
99              -1              inf             
49              -1              inf             
50              -1              inf             
51              -1              inf             
52              -1              inf             
53              -1              inf             
54              -1              inf             
55              -1              inf             
56              -1              inf             
57              -1              inf             
58              -1              inf             
59              -1              inf             
60              -1              inf             
61              -1              inf             
62              -1              inf             
63              -1              inf             
64              -1              inf             
65              -1              inf             
66              -1              inf             
67              -1              inf             
68              -1              inf             
69              -1              inf             
70              -1              inf             
71              -1              inf             
72              -1              inf             
73              -1              inf             
74              -1              inf             
75              -1              inf             
76              -1              inf             
77              -1              inf             
78              -1              inf             
79              -1              inf             
80              -1              inf             
81              -1              inf             
82              -1              inf             
83              -1              inf             
84              -1              inf             
85              -1              inf             
86              -1              inf             
87              -1              inf             
88              -1              inf             
89              -1              inf             
90              -1              inf             
91              -1              inf             
92              -1              inf             
93              -1              inf             
94              -1              inf             
95              -1              inf             
96              -1              inf             
97              -1              inf             
0               -1              inf             
1               -1              inf             
2               -1              inf             
3               -1              inf             
4               -1              inf             
5               -1              inf             
6               -1              inf             
7               -1              inf             
8               -1              inf             
9               -1              inf             
10              -1              inf             
11              -1              inf             
12              -1              inf             
13              -1              inf             
14              -1              inf             
15              -1              inf             
16              -1              inf             
17              -1              inf             
18              -1              inf             
19              -1              inf             
20              -1              inf             
21              -1              inf             
22              -1              inf             
23              -1              inf             
24              -1              inf             
25              -1              inf             
26              -1              inf             
27              -1              inf             
28              -1              inf             
29              -1              inf             
30              -1              inf             
31              -1              inf             
32              -1              inf             
33              -1              inf             
34              -1              inf             
35              -1              inf             
36              -1              inf             
37              -1              inf             
38              -1              inf             
39              -1              inf             
40              -1              inf             
41              -1              inf             
42              -1              inf             
43              -1              inf             
44              -1              inf             
45              -1              inf             
46              -1              inf             
47              -1              inf             
48              -1              inf             

---------------------------------------


